Id del anuncio;Título;Tipo de inmueble;Tipo de vendedor;Habitaciones;Barrio;Municipio;Euros/m2;Metros cuadrados construidos;Obra nueva (Sí/No);Parking (Sí/No);Jardín (Sí/No);Precio
107289184;Piso en calle Asturias;Piso;Profesional;4;Parque San Francisco-Uría;Oviedo;4802;177;No;Sí;No;850000
107473671;Piso en calle Cervantes;Piso;Profesional;6;Parque San Francisco-Uría;Oviedo;1593;204;No;No;No;325000
107289184;Piso en calle Asturias;Piso;Profesional;4;Parque San Francisco-Uría;Oviedo;4802;177;No;Sí;No;850000
106397842;Piso en avenida Pablo Iglesias, 2;Piso;Profesional;3;Ceares - Jesuitas;Gijón;2928;99;No;No;No;289900
107286406;Casa independiente en camino de la Redonda, 281;Chalet;Profesional;6;La Pedrera - Leorio - Huerces - Ruedes;Gijón;1240;480;No;Sí;Sí;595000
103265459;Casa independiente en Arrabal, 3;Chalet;Profesional;4;-;Villaviciosa;866;300;No;No;Sí;259900
107391237;Piso en calle Naranjo de Bulnes, 10;Piso;Profesional;3;Ciudad Naranco-Prados de La Fuente;Oviedo;1354;93;No;No;No;125900
106677403;Chalet adosado en Caserio Sienra, 65;Chalet;Profesional;3;-;Oviedo;850;140;No;No;No;119000
106312496;Casa independiente en Rodiles, 61;Chalet;Profesional;4;-;Villaviciosa;1857;350;No;Sí;Sí;650000
106275288;Chalet pareado en Aldea San Roque, 69;Chalet;Profesional;3;-;Villaviciosa;1410;188;No;No;Sí;265000
90855605;Dúplex en Viaducto del Ingeniero Marquina;Duplex;Profesional;3;Parque San Francisco-Uría;Oviedo;3537;147;No;Sí;No;520000
107073701;Piso en calle Ventura Rodríguez;Piso;Profesional;4;Parque San Francisco-Uría;Oviedo;2809;162;No;Sí;No;455000
100393123;Casa independiente en Camin de la Frontera;Chalet;Profesional;6;Cabueñes;Gijón;1374;800;No;Sí;Sí;1099000
104424813;Piso en calle Santa Apolonia, 149;Piso;Profesional;3;-;Avilés;1261;119;No;Sí;Sí;150000
107371575;Casa independiente en Vía;Chalet;Profesional;3;-;Villaviciosa;2670;176;No;No;Sí;470000
