Id del anuncio;Tipo de inmueble;Tipo de vendedor;Barrio;Municipio;Distrito;Precio;Euros/m2;Metros cuadrados construidos;Habitaciones;Baños;Planta;Latitud;Longitud;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
1919893;Piso;Particular;-;Somiedo;-;89000.0;1187.0;75;2.0;2.0;1;43,0931057;-6,2546806;Sí;No;No;No;Sí;Sí;No;Sí;No
1974507;Piso;Particular;-;Tineo;-;70000.0;700.0;100;3.0;2.0;2;43,3346612;-6,4067938;No;No;No;Sí;No;No;No;Sí;No
1975086;Piso;Particular;-;Luarca - Valdés;-;35000.0;318.0;110;5.0;1.0;2;43,539557;-6,5441434;No;No;No;No;No;No;No;No;No
2043762;Piso;Particular;-;Aller;-;60000.0;750.0;80;3.0;1.0;1;43,1681595;-5,7372655;Sí;No;No;No;No;No;No;No;No
2059580;Piso;Particular;-;Carreño;-;95000.0;1145.0;83;1.0;1.0;3;43,5903359;-5,7652383;No;No;No;No;No;No;No;No;No
2087429;Duplex;Particular;-;Tineo;-;75000.0;1119.0;67;2.0;2.0;3;43,3354637;-6,4105819;Sí;No;No;No;Sí;Sí;No;Sí;No
25144216;Piso;Profesional;-;Siero;Lugones;88000.0;1100.0;80;4.0;1.0;2;43,4040464;-5,8102346;No;No;No;No;Sí;Sí;No;Sí;Sí
25152971;Piso;Particular;Milán-Pumarín;Oviedo;Corredoria-Huca-Teatinos;175000.0;3017.0;58.0;1.0;1.0;8;43,3660671;-5,8429351;Sí;No;No;No;No;No;No;No;No
25405388;Piso;Particular;Buenavista;Oviedo;Buenavista-Ería-Montecerrao;80000.0;1951.0;41;1.0;1.0;2;43,3585676;-5,8685232;Sí;No;No;No;No;No;No;No;No
25831915;Piso;Particular;-;Avilés;Llaranes;60000.0;1200.0;50;4.0;1.0;1;43,548099;-5,906064;No;No;No;No;No;No;No;No;No
26668398;Piso;Particular;-;Tineo;-;69900.0;635.0;110;3.0;2.0;5;43,3352713;-6,4168599;Sí;No;No;Sí;No;No;No;No;No
26702492;Piso;Particular;-;Degaña;-;38000.0;458.0;83;3.0;1.0;1;42,9400755;-6,5664508;No;No;No;Sí;No;No;No;No;No
27367177;Piso;Particular;-;Bimenes;-;43000.0;538.0;80;3.0;1.0;3;43,338043;-5,5662473;No;No;No;Sí;No;No;No;Sí;No
27461398;Piso;Particular;Masip;Oviedo;Buenavista-Ería-Montecerrao;125000.0;1786.0;70;2.0;2.0;1;43,362278;-5,859988;Sí;No;No;No;No;No;No;No;No
27643591;Piso;Particular;-;Castrillon;Salinas;350000.0;3500.0;100.0;3.0;2.0;3;43,5773736;-5,9584146;Sí;No;No;Sí;Sí;Sí;No;Sí;Sí
27886474;Piso;Profesional;-;San Martín del Rey Aurelio;-;40000.0;455.0;88;3.0;1.0;4;43,2879306;-5,6334802;Sí;No;No;No;No;No;No;No;No
28075805;Ático;Particular;Milán-Pumarín;Oviedo;Corredoria-Huca-Teatinos;200000.0;1818.0;110.0;1.0;1.0;6;43,3699902;-5,8483158;Sí;No;No;Sí;Sí;Sí;No;Sí;Sí
28095380;Piso;Particular;-;Siero;La Pola Siero;93000.0;2022.0;46;1.0;1.0;1;43,3943181;-5,6566296;Sí;No;No;No;Sí;Sí;No;Sí;Sí
28180246;Piso;Particular;-;Langreo;La Felguera;48000.0;686.0;70;3.0;1.0;2;43,310683;-5,6933118;No;No;No;No;No;No;No;No;No
28299312;Piso;Profesional;-;Laviana;-;65000.0;722.0;90;3.0;2.0;2;43,2597901;-5,5726662;No;No;No;No;No;No;No;No;No
28325639;Piso;Particular;-;Ibias;-;50000.0;500.0;100;3.0;1.0;1;43,0121136;-6,792235;No;No;No;No;No;No;No;Sí;Sí
28444017;Ático;Particular;-;Laviana;-;68000.0;1236.0;55;2.0;1.0;3;43,2148555;-5,540729;Sí;No;No;No;Sí;No;No;Sí;No
29272130;Piso;Particular;-;Avilés;Centro;140000.0;1000.0;140;4.0;2.0;1;43,5540941;-5,9193806;No;No;No;Sí;No;No;No;No;No
29316766;Piso;Particular;Vallobín;Oviedo;Ciudad Naranco-Vallobín-La Florida;105000.0;1750.0;60;2.0;1.0;3;43,3673777;-5,8626789;No;No;No;No;No;No;No;Sí;No
29560403;Piso;Profesional;-;Laviana;-;60000.0;571.0;105;3.0;2.0;3;43,2470496;-5,5594664;Sí;No;No;No;No;No;No;Sí;No
29614826;Piso;Particular;-;Somiedo;-;84000.0;1200.0;70;2.0;1.0;1;43,0932545;-6,2539801;Sí;No;No;Sí;No;No;No;Sí;No
29671229;Piso;Particular;Santo Domingo-El Campillín;Oviedo;Centro-Casco Histórico;180000.0;2769.0;65.0;2.0;1.0;1;43,3599323;-5,8437462;Sí;No;No;No;No;No;No;No;No
29775691;Piso;Particular;El Llano - Pryca;Gijón;El Llano;246000.0;2460.0;100.0;3.0;2.0;4;43,5344539;-5,6672943;Sí;No;No;Sí;No;No;No;Sí;No
29808549;Piso;Particular;Plaza de América;Oviedo;Centro-Casco Histórico;366000.0;2091.0;175.0;5.0;3.0;1;43,362815;-5,8565324;Sí;No;No;Sí;No;No;No;No;No
